userId,movieId,score
1,27,5
1,86,3
1,92,3
1,41,4.5
1,31,3.5
1,34,3.5
1,51,2.5
1,17,1.5
1,83,4.5
1,39,1.9
1,59,1.5
1,97,2.9
1,10,3.5
2,79,4.5
2,84,4
2,68,2.5
2,2,1
2,86,3
2,71,4.5
2,39,2.5
2,85,4.5
2,14,4
2,18,0.5
2,34,2
2,15,1.5
2,96,5
2,20,4
3,21,0
3,95,2
3,57,3
3,71,2
3,91,0
3,55,2
3,72,4.5
3,2,5
3,15,0
3,10,2
3,89,3.5
3,20,3.5
3,70,2
4,80,1
4,96,4
4,20,2.5
4,31,1.5
4,21,4
4,23,1
4,53,0
4,4,1
4,95,1.5
4,43,4.5
4,86,5
4,32,1.5
4,35,3
4,90,2
4,14,5
4,49,2.5
4,5,4.5
4,61,0.5
5,23,2
5,75,3
5,34,1.5
5,5,3.5
5,14,0
5,77,4.5
5,56,2.5
5,45,3.5
5,94,3.5
5,41,3.5
5,78,2
5,66,0.5
5,15,3.5
6,80,0.5
6,41,2
6,85,4.5
6,16,3.5
6,93,4.5
6,39,3
6,65,1.5
6,40,2.5
6,86,0
6,53,1.5
6,42,2
6,52,3
6,90,3.5
6,38,2.5
6,71,2
7,66,4
7,61,4
7,95,3.5
7,22,4
7,85,4
7,11,3
7,37,2
7,82,2.5
7,80,4
7,43,4.5
7,12,2
8,92,4.5
8,90,4.5
8,50,4
8,64,2
8,52,4
8,32,3.5
8,19,2.5
8,84,4.1
8,89,4.5
8,1,4.5
8,97,3.5
9,86,2.5
9,68,4
9,72,2.5
9,77,4
9,41,2
9,97,3.5
9,57,4
9,79,2.5
9,93,4.5
9,65,4.5
9,55,3
9,71,2
9,58,4
9,21,4
9,96,3
9,61,2.5
9,34,2.5
9,32,0.5
9,82,4
10,99,2.5
10,75,3
10,90,1
10,3,4
10,98,2
10,74,2
10,49,1.5
10,62,3.5
10,1,3
10,46,4
10,39,2.5
10,97,3.5
10,50,3.9
10,54,5
10,69,2
10,96,3
10,95,0
11,18,3.5
11,60,0.5
11,24,5
11,7,1
11,34,0.5
11,49,5
11,42,4
11,28,0
11,59,1
11,44,4
11,98,3
11,36,1
11,97,3.5
11,54,0.5
11,33,4.5
11,11,2.5
11,61,1.5
11,3,4
12,100,4.5
12,21,2
